Product,5th pctl,10th pctl,Median,90th pctl,95th pctl
Other Pulses,1.9,4.6,5.7,19,20
Peas,1,1.2,3,6.4,9.2
Nuts,2.5,2.7,5.3,16,16
Groundnuts,1.6,1.8,3,5.9,5.9
Tofu,1,1.1,2.1,3.1,3.7
Bovine Meat (beef herd),35,42,85,369,456
Bovine Meat (dairy herd),6.2,7.3,13,32,54
Lamb & Mutton,24,30,64,221,362
Pig Meat,4.6,4.8,8.3,19,21
Poultry Meat,3.7,3.8,6.4,9.2,12
Milk,0.8,1.1,2.1,9.3,32
Cheese,3.6,4.3,9.1,108,146
Eggs,3.8,3.9,5.1,7.9,7.9
Fish (farmed),0.1,0.4,2.5,4.6,12
Crustaceans (farmed),0.4,0.4,0.6,3.5,3.5
